DATUM_ABSTIMMUNG;VORLAGE_BEZEICHNUNG;VORLAGEART_CODE;VORLAGEART_BEZEICHNUNG;BEZIRK_NR;BEZIRK_NAME;BFS_NR_GEMEINDE;GEMEINDE_NAME;STIMMBERECHTIGTE;EINGELEGTE_STIMMEN;LEERE_STIMMEN;UNGUELTIGE_STIMMEN;GUELTIGE_STIMMEN;JA_STIMMEN;NEIN_STIMMEN;STIMMBETEILIGUNG
2012.06.17;Planungs- und Baugesetz;4;Fakultatives Referendum;2012;Frauenfeld;4811;Herdern;686;221;9;7;205;140;65;32.22
2012.06.17;Planungs- und Baugesetz;4;Fakultatives Referendum;2015;Weinfelden;4495;Hohentannen;426;114;2;1;111;61;50;26.76
2012.06.17;Planungs- und Baugesetz;4;Fakultatives Referendum;2012;Frauenfeld;4816;Homburg;1085;275;6;6;263;162;101;25.35
2012.06.17;Planungs- und Baugesetz;4;Fakultatives Referendum;2011;Arbon;4421;Horn;1763;536;8;14;514;363;151;30.4
2012.06.17;Planungs- und Baugesetz;4;Fakultatives Referendum;2012;Frauenfeld;4590;Hüttlingen;596;167;9;6;152;89;63;28.02
2012.06.17;Planungs- und Baugesetz;4;Fakultatives Referendum;2012;Frauenfeld;4821;Hüttwilen;1090;376;30;4;342;226;116;34.5
2012.06.17;Planungs- und Baugesetz;4;Fakultatives Referendum;2013;Kreuzlingen;4666;Kemmental;1503;443;23;1;419;225;194;29.47
2012.06.17;Planungs- und Baugesetz;4;Fakultatives Referendum;2011;Arbon;4426;Kesswil;646;258;11;9;238;158;80;39.94
2012.06.17;Planungs- und Baugesetz;4;Fakultatives Referendum;2015;Weinfelden;4501;Kradolf-Schönenberg;2145;579;16;7;556;372;184;26.99
2012.06.17;Planungs- und Baugesetz;4;Fakultatives Referendum;2013;Kreuzlingen;4671;Kreuzlingen;8381;2887;132;78;2677;1699;978;34.45
2012.06.17;Planungs- und Baugesetz;4;Fakultatives Referendum;2013;Kreuzlingen;4681;Langrickenbach;771;234;8;0;226;131;95;30.35
2012.06.17;Planungs- und Baugesetz;4;Fakultatives Referendum;2013;Kreuzlingen;4683;Lengwil;888;258;7;9;242;142;100;29.05
2012.06.17;Planungs- und Baugesetz;4;Fakultatives Referendum;2014;Münchwilen;4741;Lommis;784;223;6;5;212;139;73;28.44
2012.06.17;Planungs- und Baugesetz;4;Fakultatives Referendum;2012;Frauenfeld;4826;Mammern;357;136;6;0;130;75;55;38.1
2012.06.17;Planungs- und Baugesetz;4;Fakultatives Referendum;2015;Weinfelden;4941;Märstetten;1764;515;21;1;493;322;171;29.2
2012.06.17;Planungs- und Baugesetz;4;Fakultatives Referendum;2012;Frauenfeld;4591;Matzingen;1580;381;12;1;368;255;113;24.11
2012.06.17;Planungs- und Baugesetz;4;Fakultatives Referendum;2012;Frauenfeld;4831;Müllheim;1774;439;9;12;418;249;169;24.75
2012.06.17;Planungs- und Baugesetz;4;Fakultatives Referendum;2014;Münchwilen;4746;Münchwilen;3096;727;18;7;702;432;270;23.48
2012.06.17;Planungs- und Baugesetz;4;Fakultatives Referendum;2013;Kreuzlingen;4691;Münsterlingen;1583;510;23;0;487;304;183;32.22
